產生時間,epoch,時段,分頁,到期日,行情時間,非今日行情,標的,買權側分數,買權側主導,買權側口數,賣權側分數,賣權側主導,賣權側口數,象限,結論,上緣,上緣來源,下緣,下緣來源,陣地位移
2026-08-22 15:18:43,1787383123,夜盤,週三結算,20260826,08/21 04:59:58,Y,45074,-1.26,中性,31764,-0.90,中性,33160,flat,觀望,46000,盤中,44000,盤中,
2026-08-22 15:18:43,1787383123,夜盤,週五結算,20260828,08/21 04:45:15,Y,45074,,不判定,0,,不判定,0,flat,觀望,46500,昨日OI,44900,昨日OI,
2026-08-24 08:47:24,1787532444,日盤,週三結算,20260826,08:47:19,,45062,,不判定,0,,不判定,0,flat,觀望,45500,盤中,44100,盤中,買權陣地下移 500 點（偏空）
2026-08-24 08:47:24,1787532444,日盤,週五結算,20260828,08:45:00,,45062,,不判定,0,,不判定,0,flat,觀望,46500,昨日OI,44900,昨日OI,
2026-08-24 08:47:24,1787532444,日盤,下週三結算,20260916,08:46:55,,45062,,不判定,0,,不判定,0,flat,觀望,45600,昨日OI,45000,昨日OI,
2026-08-24 08:55:33,1787532933,日盤,週三結算,20260826,08:55:29,,45105,-1.79,中性,2937,1.77,中性,4567,flat,觀望,45500,盤中,44000,盤中,買權陣地下移 500 點（偏空）
2026-08-24 08:55:33,1787532933,日盤,週五結算,20260828,08:55:06,,45105,,不判定,0,,不判定,0,flat,觀望,46500,昨日OI,44900,昨日OI,
2026-08-24 08:55:33,1787532933,日盤,下週三結算,20260902,08:55:28,,45105,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43700,昨日OI,
2026-08-24 10:20:14,1787538014,日盤,週三結算,20260826,10:20:06,,44998,0.00,中性,24431,0.87,中性,22803,flat,觀望,46000,盤中,44000,盤中,
2026-08-24 10:20:14,1787538014,日盤,週五結算,20260828,10:19:45,,44998,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44900,昨日OI,
2026-08-24 10:20:14,1787538014,日盤,下週三結算,20260902,10:20:00,,44998,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43700,昨日OI,
2026-08-24 11:30:18,1787542218,日盤,週三結算,20260826,11:30:11,,44895,0.36,中性,28916,-0.43,中性,26988,flat,觀望,46000,盤中,44000,盤中,
2026-08-24 11:30:18,1787542218,日盤,週五結算,20260828,11:30:04,,44895,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44100,昨日OI,
2026-08-24 11:30:18,1787542218,日盤,下週三結算,20260902,11:30:04,,44895,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43700,昨日OI,
2026-08-24 12:21:44,1787545304,日盤,週三結算,20260826,12:21:40,,44947,-0.28,中性,33207,1.10,中性,30218,flat,觀望,46000,盤中,44000,盤中,
2026-08-24 12:21:44,1787545304,日盤,週五結算,20260828,12:21:26,,44947,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44900,昨日OI,
2026-08-24 12:21:44,1787545304,日盤,下週三結算,20260902,12:19:15,,44947,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43700,昨日OI,
2026-08-24 13:09:58,1787548198,日盤,週三結算,20260826,13:09:54,,44829,0.93,中性,36777,-0.31,中性,31267,flat,觀望,46000,盤中,44000,盤中,
2026-08-24 13:09:58,1787548198,日盤,週五結算,20260828,13:09:53,,44829,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44100,昨日OI,
2026-08-24 13:09:58,1787548198,日盤,下週三結算,20260902,13:09:05,,44829,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43700,昨日OI,
2026-08-24 13:52:07,1787550727,非交易,週三結算,20260826,13:44:59,,44762,-0.21,中性,46318,-0.57,中性,35337,flat,觀望,46000,盤中,44000,盤中,
2026-08-24 13:52:07,1787550727,非交易,週五結算,20260828,13:44:56,,44762,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44100,昨日OI,
2026-08-24 13:52:07,1787550727,非交易,下週三結算,20260902,13:44:18,,44762,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43700,昨日OI,
2026-08-24 15:07:22,1787555242,夜盤,週三結算,20260826,15:07:02,,44729,,不判定,0,,不判定,391,flat,觀望,45750,盤中,44100,盤中,買權陣地下移 250 點（偏空）
2026-08-24 15:07:22,1787555242,夜盤,週五結算,20260828,15:00:00,,44729,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 15:07:22,1787555242,夜盤,下週三結算,20260902,15:06:34,,44729,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 16:00:02,1787558402,夜盤,週三結算,20260826,15:59:58,,44649,-0.32,中性,7094,0.12,中性,12794,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 16:00:02,1787558402,夜盤,週五結算,20260828,15:59:26,,44649,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 16:00:02,1787558402,夜盤,下週三結算,20260902,15:55:55,,44649,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 16:58:25,1787561905,夜盤,週三結算,20260826,16:58:15,,44777,-0.46,中性,12023,0.11,中性,26596,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 16:58:25,1787561905,夜盤,週五結算,20260828,16:57:52,,44777,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 16:58:25,1787561905,夜盤,下週三結算,20260902,16:57:52,,44777,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 17:56:18,1787565378,夜盤,週三結算,20260826,17:56:11,,44854,-0.15,中性,12851,-0.33,中性,29773,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 17:56:18,1787565378,夜盤,週五結算,20260828,17:54:37,,44854,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 17:56:18,1787565378,夜盤,下週三結算,20260902,17:54:25,,44854,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 18:41:08,1787568068,夜盤,週三結算,20260826,18:41:03,,44825,0.44,中性,14409,-0.35,中性,30778,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 18:41:08,1787568068,夜盤,週五結算,20260828,18:38:32,,44825,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 18:41:08,1787568068,夜盤,下週三結算,20260902,18:38:05,,44825,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 19:12:36,1787569956,夜盤,週三結算,20260826,19:12:26,,44762,-0.21,中性,15804,0.40,中性,31733,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
